Rank,Tier,Player,Team,Position,Bye,Notes
1,1,Jahmyr Gibbs,DET,RB,6,
2,1,Bijan Robinson,ATL,RB,11,
3,1,Ja'Marr Chase,CIN,WR,6,TD volume + long-TD bonuses
4,1,Puka Nacua,LAR,WR,11,
5,1,Jaxon Smith-Njigba,SEA,WR,11,
6,1,Christian McCaffrey,SF,RB,8,
7,2,Amon-Ra St. Brown,DET,WR,6,
8,2,Jonathan Taylor,IND,RB,13,
9,2,De'Von Achane,MIA,RB,6,Home-run speed = 40/50+ bonuses
10,2,CeeDee Lamb,DAL,WR,14,
11,2,James Cook III,BUF,RB,7,
12,2,Justin Jefferson,MIN,WR,6,
13,2,Chase Brown,CIN,RB,6,
14,2,Drake London,ATL,WR,11,
15,2,Derrick Henry,BAL,RB,13,Long TDs + 100-yd game bonuses
16,2,Rashee Rice,KC,WR,5,
17,3,A.J. Brown,NE,WR,11,
18,3,Saquon Barkley,PHI,RB,10,
19,3,Chris Olave,NO,WR,8,
20,3,George Pickens,DAL,WR,14,
46,4,Lamar Jackson,BAL,QB,13,"Still elite, but rushing edge is diluted here"
52,5,Dak Prescott,DAL,QB,14,"4,500+ pass yds = ~450 pts on yardage alone"
